coffeeshop_name,coffeeshop_url,rating,title,content,ReviewType
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Extra service fee for nothing,"Big NO to Paul in Azerbaijan Airport. They charge extra service fee for nothing. Service doesn't include anything, no kindness, no plates, cutlery. Service fee for those who want to be annoyed. No any other coffess charge extra except Paul. So go for others, for better service and food.",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,2,Disappointed,"This place is going downhill.  It used to be a nice place to get brunch / lunch. The quality is slipping, the service is slipping.  There are many better places in Baku to go.  It's definitely below average and not cheap.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,My experience with Paul,"I am going to be honest, I was really pleasantly surprised and satisfyed after visiting this place, the food was good, the staff and service were excellent. Our waiter was Mr.Kamran and I can tell u that the treatment towards us was on top. Overall it was a great experience and I would really recommend everyone to visit Paul at least once.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Great place to be with family,"Paul in Baku is as a good as other Paul Restaurants in Abi Dhabi, Dubai or Minsk. Great staff, excellent French cousins and surely the specialty is deserts. With visiting after a walk in the Old Town of Baku!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Lovely cuisine,"This is one of my favorite restaurants in Baku. Love their cuisine and service.
Special thanks to waiters Zaur and Sadiq from the Caspian plaza branch for  their courtesy and attentiveness.
This is a nice place. Strongly recommend for visiting.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Great food and best service!,"Great food with wide choice and best service. Special thanks to Kamran, who took care of our table and was very helpful. Nice atmosphere and delicious desserts. Definitely recommended for breakfast, lunch or dinner.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Great service and good food,"I was there with my family and surprisingly have eaten one of the best fettuccini in my life. It worth to mention that the waitress “Amina” provided best service. 
I would highly recommend this place to every French cousin’s lovers.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Thanks for all,"Walked in for dinner on Saturday. The waiter Abbas couldn’t have been nicer. He was quick, efficient and friendly. Recommend the food for my dinner which didn't disappoint! I even returned the next morning for breakfast and got similar service from the Waitress Sabina! Friendly staff and probably the best breakfast I’ve had!”",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,2,Minus point,"We had our coffee and dessert. It was pretty good and the waiter was nice. However after paying the bill, we have waited for the remainder of the money. But no one has returned the remainder more than half an hour. Even we asked for it, but waited again. So just buy ignoring, left the place. Please, be responsible for the such cases. Thanks",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,perfect !,"I went for breakfast and it was simply incredible. The food was very delicious. As someone who loves coffee, I really liked their coffee, it was obvious that it was fresh and delicious. There were many food selections. The employees were friendly and polite. I definitely recommend it!!!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Disrespectful behavior,we entered the restaurant and sat down. They gave us a menu and before we started ordering we were told that the kitchen was closed. We went here for lunch and it was a waste of time and disrespectful to us.,negative
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Terrible,"Terrible service, ordered flat white, got latte (which I hate) and didnt get even apologize from team.Additionaly to bad experience, there was insect chilling by my side((((",negative
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Horrible,We were served fake drinks. They list gin in the drinks but there’s no gin. We asked them to bring us two shots to make it right and the manager confessed they do not have alcohol. They made us pay anyway. DO NOT patronize!,neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Excellent,Amazing restaurant! Very delicious and stylish! And the staff is just the next level! We enjoyed the whole experience a lot! Highly recommended!,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,👍,"Good Caesar salad, also not a bad pastry choice represented here, recommend this place both for couples and families. 8.5/10",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,caffè latte ☕️,Delicious coffee and sweeties! I couldn’t find anywhere like this one. Cool and quiet atmosphere. Highly recommended!!! 🙌🏻,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Breakfast,The best breakfast! Everything was very delicious and the staff was very kind and attentive. I enjoyed the perfect food and ambiance,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Breakfast 😋,"The best breakfast. Perfect food, perfect staff, perfect service, perfect ambiance. I love every detail about Paul, keep going!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Thanks to Zaur for amazing service.,"Great food, amazing service. My courtesy to Zaur from Caspian franchise of Paul, great service. 👍🏻 Probably best French cuisine restaurant in Baku.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,5 STARS,"Paul’s Cafe in Baku, definitely a five-star joint. The waiters, a breed apart, are the epitome of politeness, loaded with a preemptive courtesy that’s rare in these parts. Their uniforms, a testament to the relentless pursuit of perfection, are impeccably ironed and spotlessly clean. The service? Stellar. A solid five-star performance that makes you feel like royalty in exile.

The food presents itself with an allure that’s both fresh and fetching, a visual feast before it even hits your taste buds. And the coffee — let me tell you about the coffee. It’s the kind of high-caliber brew that shocks you into a state of pleasant surprise, the best damn cup I've had in Baku. I know coffee, and this, my friends, is coffee.

The prices? They won’t knock you on your back in this city. The place itself, situated smack in the heart of the city, offers a cool escape with air conditioning, Wi-Fi, and plenty of sockets for the tech-weary traveler. But let’s circle back to the service and the staff's performance — absolutely top-notch. They’re the backbone of Paul’s Cafe, making it a haven in the urban chaos of Baku.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Good service,The food was good.(Loved the salmon paste) + We especially loved the service provided by Mr. Zaur!Thanks a lot for the great service,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Amazing breakfasts,"Very cozy place with a big menu with a lot of options. The taste is wonderful, you can feel the quality. Also I want to highlight the service, it is amazing here - Zaur is very hospitable",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,Very good coffee,"Credit where it’s due the coffee was awesome, as were the cakes.

Excellent city centre location 

Staff were very polite, many speaking excellent English",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Amazing zaur,There is guy called zaur in Paul branch port Baku... He is an amazing guy... One of the best waitress ever.. He knows Arabic.. English... Russian.. Will help u in all the languages 😍😍😍,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Very good restaurant,Very good restaurant. Really enjoyed my time here and the service was amazing. Would definitely recommend.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Thanks for delicious food and great service,"This is the greatest restaurant in Baku, food is very delicious and service is excellent, our special thanks to Zaur for the great hospitality 👍🏻🙌👏🏻👌🏼",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Bad,The waiter is very rude and has high voice and rude eye contact and like he want to fight no recommendation at all for the bad service,negative
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,"Зайдите в PAUL BAKERY (Neftchiler Ave., 153, Baku)","One of the best places for breakfast in Baku and not only… Great customer service, delicious food, exquisite recipes and presentation. You can buy freshly baked bread and pastries, have a cup of coffee with soft buttery croissants. The staff is friendly, fast responsive. I love to come here in any time of a day for a breakfast/ lunch/diner or just cup of coffee and chat. 
Special thanks to all Paul’s team and especially to garcon Zaur who is always so smiling, super prompt and attentive. Every time he makes the experience perfect.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Lunch with friends,"We come here for their delicious soups, bread and sezar salad. Of course high level of service is much more appreciated. Special thanks to Zaur 😀",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Excellent,"The food is amazing and very delicious.  The waiter kamran is very friendly and helpful,  he have a high level of hospitality experience.  We'll recommend",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Pleasure to eat here,"Great place to have a diner in the Baku city center. Friendly service (our waiter was Kamran), nice music, good prices.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,"Incredible food, service and great atmosphere","Amazing find, great food and drinks and super fast friendly  service. Good prices and explained some of their unique menus to us",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,The Breakfast Place to go!!,"Very good Food and very good Experience.
Our waiter was Kamren was very attentive with us and professional.
Definitely we will come back for breakfast :)",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Paul,"One of my favorite restaurants in Baku. They have a good European menu with delicious soups, crepes, pasta, and desserts. I recommend it.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Breakfast at Paul’s,"Everything was really good and tasty! Croissants are amazing! As well as cappuccino <3 nice french music and good view on the walk street.    
Thanks Rufulla for wonderful service!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,3,Disappointed,"What was meant to be a nice cup of coffee with croissant, was spoiled by an incompetent waiter. Not sure why but he seemed to be reluctant to serve and did it with a clearly visible sense of hesitation. Really disappointing",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Good place for coffee or light meal,We had a light dinner at Paul in a former cinema building. Food was great and staff friendly. We will be back for breakfast :-),positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,Nice dinner with family,"5 star hospitality by Kamran, who was perfect in Russian and English. Food and ambiance was also very good.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Great place for breakfast/brunch,"Excellent breakfast options and coffee, the food came out perfectly matching the pictures in the menu, nice flaky pastry, and fast friendly service from Meser.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,Nice staff and tasty food,"We went for a business lunch with colleagues, food was very delicious and staff was very nice and polite. (our waiter Rufulla was very polite in particular) We were having lunch at Paul Torgovaya :)",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,"Nice food, nice ambiance, kind and professional coworkers",Serviceand foods were good. Again and again i will continue to come here. Especially thanks to Mr.Rufulla,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,"Great menu, staff were excellent","The caesar salad was tasty and the staff were very helpful.

Great atmosphere with excellent homemade lemonades.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Delicious,The food was delicious and the people we so kind. Mr Kamran was so kind and very attentive. Nice environment and very clean,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Cinema,"Good diner and very good staff
No long queue.
Nice decoration.
Food was tasty. And it’s good to have some food which reminds you your country…",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,3,Customer Service,"They serves a delicious food overall. Though, most of them are very kind, I observed ignorance for unknown reason.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Always good,"Wherever you travel, you can rely on Paul's to offer up a good coffee and pastry. This one didn't disappoint!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,JUST PERFECT,"Coffee was fresh, the vegetable omelette is amazing and homemade, even the pancakes was good!  Everything we ordered was fresh and delicious. Highly recommend! Definitely coming back :)",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Best,"We loved it here we had breakfast ,lunch and dinner over the period of our holiday  The food was amazing a great menu was awesome, the decor was just beautiful. It was one of my favorite place to eat while in Baku",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Great breakfast and cozy place,"Best place jn Baku for breakfast and dinner👍🏻I was many times at Paul torgoviy and Port Baku with my family, nice personal and quiet, cozy atmosphere there❤️Highly recommend",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Paul at Tarqoviy,Nice place with lovely atmosphere! Thank you for delicious food and pleasant service. Will come here again for sure.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,I had breakfast at Paul “Cinema”,"I had breakfast at Paul “Cinema” and it was delicious, the stuff was very welcoming, the ambiance and the music was on point 👍🏻 thank you",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,2,Bad service but good food,"I live very close to Paul therefore going very often however each time I go facing attitude problem of the service team. They are very rude, careless  and really do not care if the guests are happy or not.  Food wise it is OK but desert are better.
Service needs to improve and team needs to be trained for guest satisfaction.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Nice place for having food at Port Baku side. Recommended!,"Great breakfast place. Food is delicious, service is quick and good, staff friendly and amazing ambience.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,"Great location, the staff speak English and they smile 👍🏼","I liked the location and the view and the staff spoke English and always smiling, and the food is delicious.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Very nice and cozy place.,"Very nice and cozy place. Food is always fresh. Service 5/5. All Paul restaurants are nice , but the one next to Azerbaycan Cinema is the best)",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,delicious bakery,"Good service and delicious bakery , nice place for coffee and meeting friends I advise you to come here",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Otlichno super,"Zdravstvuyte,otlichnoe mesto s super personalom. Osobenno xotelos bi otmetit oficianta Cahandara!
V obshem 10/10,super",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Paul cinema Baku,Paul cinema was one of the greatest cafes and restaurants here in Baku ... the food was good and the stuff is great and friendly we really enjoyed our time there .,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Paul nearby CinemaPlus Azerbaijan,"I have enjoyed my dinner at Paul nearby CinemaPlus Azerbaijan. I ordered Tomato soup and Salad Paysanne and both were very delicious and fresh.
Restaurant staff welcomed me warmly and guided me on the menu. 
My special thanks and credits go to Asif and Agil who served very gently and politely.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Cinema,Great atmosphere and great food! Prices are moderate and the staff is excellent. Smiling and very proactive.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,New Paul Restaurant (behind Hard Rock),"I have been here 3 times now over the last few months and the food has been excellent.
We have been lucky enough to have the same waiter every time, his name slips my mind, but he also worked at the original Paul's.
His English is very good, very polite and a pleasure to deal with.
Keep up the good work.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,paul coffeeshop,"I spend my happiest time in baku IN paul coffeshop, They have The best coffee that I have ever drink , And food is very delicious and they have best dishes,  But what make me love this place is the polite and great staff, their are very proffetional and cheerful,Very polite and nice and provide exceptional service especially ""ANNA"" and that make me visit this place everyday,  I feel peaceful and happy and that what all I need.

SHEHAB 
FROM OMAN",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Real French flavor restaurant,I and my wife went to this restaurant 3 times during our 5 days visit in Baku. Every dish was perfect.The pastry reminds me the Monte Carlo patisserie but the price was much lower !! Excellent mushroom and pumpkin soups. Delicious crepe and large selection of cakes.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Dreadful coffee,"I frequently pop into Paul in Port Baku for a coffee, it’s generally good.
On Tuesday I had a city centre meeting so went into Paul’s near Hardrock cafe.
It took 3 people to try to make the coffee, I waited 7 minutes for said coffee.
When eventually having had to call the manager I got my coffee, it was impossible to drink, it was so hot- when I did drink it, the milk was off, it was disgusting, no coffee, hot milk!
I went back to inform, the girl I spoke to was rude, she ‘knows the milk was not off’ and ‘the coffee was good’ 
Why can’t the staff in Paul make a decent coffee? 
Why are they not trained?
Why are the staff so rude when the customer explains the coffee is not good? 
In my opinion, one shot in a medium take away is not sufficient to make a decent coffee.",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Outstanding.,"Everything my friend and I ordered was simply spectacular. The pumpkin soup had unexpected flavors and it was just perfect. Likewise, the tomato soup was very tasty. The tuna avocado toast was smaller than I expected, but it was delicious and filling. Every pastry we tried was out of this world delicious: the crepe strawberry, millefeuille strawberry, cherry pie, strawberry pie, etc. Don't forget the cocktails! The Caribbean Sour was really good, and the raspberry drink with gin (the name escapes me) was even better.  Do not miss this spot if you are looking for wonderful food and exceptional service in Baku!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Thanks for gluten free dessert,"I would like to thank the staff of the restaurant - cafe for the excellent service, for the attitude, and above all for the delicious gluten-free cakes. This is the only cafe in Baku where I found a gluten-free dessert.
Thanks to Anar and Agil for their help.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,Can't go wrong,"It's one of my many visits to Paul restaurant whether back home or any other country.
It's really one of few perfect restaurants with a brand name, food is so delicious, large portion, menu with lots of verities, fair price for what you get it really worth it.
One thing happened this time wasn't professional which they brought the main course while I am still not finished my salad and I had to return it till I am finished (this point needs attention from managment).
Fairly big place, inside and outside seating, nicely located.

Highly recommended",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,After class visit,"Been here for a few times now, and as always, I got satisfied with my food orders. I work and attend Azeri Class nearby and Paul is one of my choice of restaurants to dine in. They have great breads and pasta which I love, as well as great mocktails and cocktails suited for me and my friends. The atmosphere is so elegant and chic. Service is superb, staffs are well knowledgeable and product oriented and attentive. Definitely gonna keep coming back here. HIGHLY RECOMMENDED!!! 👍🏻",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,Music,Just wish they would change the music to match the atmosphere- something instrumental would be great,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,Great Salads and always good service,Nice western style cafe with good food and great service.   I have eaten here many times - always good.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,5 start for manager.,Giving 5 start to manager of the restaurant. Had a little issue and he showed up immediately and solved the issue. Was very nice and kind. Good job. Keep it up young man.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,3,Service is bad,"It looks like the service is getting worse every time we come here.
They are not interested at all. 
It's too much effort to bring the drinks to the table. After we ate the starter we were lucky to get our drinks.",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Awesome Food,We were in Baku for four days and in that short time we visited this restaurant thrice. Food will never disappoint you. Strongly recommended. Keeping up the legacy.,positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,2,"Port Baku branch is good, the one at the center lacks everything","Had really good experiences at Port Baku. Recently they opened a new restaurant near Hard Rock Cafe and the service is always bad. They say that they have problems with the kitchen, but their problem is just that they can’t deal with all the orders. Usually tourists are the target of these excuses because they know they won’t complain. Location at the center is great but that’s about it. Quality of food and service are really far from what they offer at Port Baku.",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Excellent service and lovely staff!,"Especially the one on portbaku is my favorite! I love their tasty food, desserts, etc. but the most important thing that I notice on cafes and restaurants, is cleaning. I can truly say everything is  clean there and the staff are very kind. highly recommend if u are looking for such a good place with tasty food and polite staff to visit.",positive
