CoffeeShop Name,URL,Address,Phone,Rating,Review count,Excellent Reviews,Good Reviews,Average Reviews,Poor Reviews,Terrible Reviews,Accepts Credit Cards,Seating,Free Wifi,Visa,Mastercard,Delivery,Takeout,Reservations,Street Parking,Non-smoking restaurants,Parking Available,Family style,Digital Payments,Table Service,Wine and Beer,Serves Alcohol,Outdoor Seating,American Express,Dog Friendly,Full Bar,Wheelchair Accessible,Cash Only,Discover,Free off-street parking,Drive Thru,Television,Live Music,Highchairs Available,Gift Cards Available,Private Dining,Playgrounds,Buffet,Sports bars,Jazz Bar,Validated Parking,Valet Parking,Waterfront,Beach
Fuzzy Coffee & Wine,https://www.tripadvisor.com/Restaurant_Review-g293934-d25111518-Reviews-Fuzzy_Coffee_Wine-Baku_Absheron_Region.html,"Jafar Jabbarli 44 Caspian Plaza , 17th Floor, Baku Azerbaijan",+994 50 275 00 30,4.4,14,12,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Coffee Go,https://www.tripadvisor.com/Restaurant_Review-g293934-d10486744-Reviews-Coffee_Go-Baku_Absheron_Region.html,"Istiqlaliyyat 43 We are facing the monument to I. Mammadaliyev, Baku 1001 Azerbaijan",+994 12 492 51 46,5,25,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaplin Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d24777275-Reviews-Chaplin_Coffee-Baku_Absheron_Region.html,"Istiqlaliyyat Street 71,baku, Baku 1000 Azerbaijan",+994 12 497 29 76,3.8,9,5,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Buffetique,https://www.tripadvisor.com/Restaurant_Review-g293934-d8332968-Reviews-Buffetique-Baku_Absheron_Region.html,"Yusif Mammadaliyev St., 40c, Baku 1005 Azerbaijan",+994 12 493 79 35,4.7,33,26,4,2,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Baristica Coffee Roastery,https://www.tripadvisor.com/Restaurant_Review-g293934-d23843044-Reviews-Baristica_Coffee_Roastery-Baku_Absheron_Region.html,"12a Zarifa Aliyeva, Baku 1005 Azerbaijan",+994 50 833 52 55,4.9,8,7,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavazza Espression,https://www.tripadvisor.com/Restaurant_Review-g293934-d7155291-Reviews-Lavazza_Espression-Baku_Absheron_Region.html,"S. Vurgun 51 A, Baku 1000 Azerbaijan",+994 12 498 13 97,4.2,21,13,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teazy,https://www.tripadvisor.com/Restaurant_Review-g293934-d26328294-Reviews-Teazy-Baku_Absheron_Region.html,"Bunyad Sardarov 2, Baku Azerbaijan",+994 50 718 67 64,5,7,7,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cuppa Coffee Baku,https://www.tripadvisor.com/Restaurant_Review-g293934-d23963435-Reviews-Cuppa_Coffee_Baku-Baku_Absheron_Region.html,"White City, 1 Yashil Ada Street 5, Baku AZ1025 Azerbaijan",+994 50 224 53 11,5,6,6,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traveler's Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d9880036-Reviews-Traveler_s_Coffee-Baku_Absheron_Region.html,"Nizami Street 68 Nizami street 68, Baku 1010 Azerbaijan",+994 12 493 20 23,3.9,30,11,9,8,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Cake Boutique,https://www.tripadvisor.com/Restaurant_Review-g293934-d14184698-Reviews-Purple_Cake_Boutique-Baku_Absheron_Region.html,"Hasanoghlu, 4a Behind the Heydar Aliyev Center, Baku 1005 Azerbaijan",+994 50 746 83 84,4.5,8,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W-Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d8131757-Reviews-W_Coffee-Baku_Absheron_Region.html,"Basti Baghirova 18b, Baku 1065 Azerbaijan",+994 12 594 46 52,4.8,9,7,2,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensum Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d25442986-Reviews-Sensum_Cafe-Baku_Absheron_Region.html,"2/29 Ahmad Rajabli, Baku Azerbaijan",+994 55 208 84 51,4.6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoomBalamBuz,https://www.tripadvisor.com/Restaurant_Review-g293934-d10350099-Reviews-BoomBalamBuz-Baku_Absheron_Region.html,"Haji Zeynalabdin Tagiyev 14, Baku 1005 Azerbaijan",+994 50 515 26 66,4.9,9,8,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Why Baku,https://www.tripadvisor.com/Restaurant_Review-g293934-d28391267-Reviews-Why_Baku-Baku_Absheron_Region.html,"Ağ Şeher Bari Tower, Baku 1025 Azerbaijan",9.94103E+11,5,3,3,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Urban Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d23337809-Reviews-Urban_Coffee-Baku_Absheron_Region.html,"Said Rustamov 3/6 Akhundoff garden, Baku Azerbaijan",+994 50 830 20 21,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honours Coffee & Library,https://www.tripadvisor.com/Restaurant_Review-g293934-d25312291-Reviews-Honours_Coffee_Library-Baku_Absheron_Region.html,"Uzeyir Hajibeyov 35 Government House, Baku 1001 Azerbaijan",+994 50 228 23 21,5,5,5,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soulmate Cat Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d17652872-Reviews-Soulmate_Cat_Cafe-Baku_Absheron_Region.html,N/A,N/A,3.7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee9 Bar,https://www.tripadvisor.com/Restaurant_Review-g293934-d24003965-Reviews-Coffee9_Bar-Baku_Absheron_Region.html,"Nizami 135, Baku Azerbaijan",+994 50 466 08 35,4.6,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,https://www.tripadvisor.com/Restaurant_Review-g293934-d10298748-Reviews-Second_Cup-Baku_Absheron_Region.html,"28 Mall, Baku 1095 Azerbaijan",+994 12 404 84 34,3.4,18,6,4,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moka Roastery & Eatery,https://www.tripadvisor.com/Restaurant_Review-g293934-d26732293-Reviews-Moka_Roastery_Eatery-Baku_Absheron_Region.html,"Ahmad Javad St., Baku 1005 Azerbaijan",+994 51 244 13 01,5,4,4,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organica Bakery (xagani Branch),https://www.tripadvisor.com/Restaurant_Review-g293934-d27944450-Reviews-Organica_Bakery_xagani_Branch-Baku_Absheron_Region.html,"Baku, Xagani 47, Baku Azerbaijan",+994 50 974 02 11,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The cups,https://www.tripadvisor.com/Restaurant_Review-g293934-d27147368-Reviews-The_cups-Baku_Absheron_Region.html,"Tərlan Eliyarbeyov 16, Baku Azerbaijan",+994 55 389 68 88,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hola Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d28125966-Reviews-Hola_Coffee-Baku_Absheron_Region.html,"203 Nizami St,, Baku 1052 Azerbaijan",+994 50 431 47 50,5,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoffeeLea,https://www.tripadvisor.com/Restaurant_Review-g293934-d14169373-Reviews-CoffeeLea-Baku_Absheron_Region.html,"Xaqani 71B, Baku 1000 Azerbaijan",+994 51 333 51 56,3.6,16,6,4,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Persimmon Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d25268593-Reviews-The_Persimmon_Cafe-Baku_Absheron_Region.html,"46 Afiyaddin Jalilov Street, Baku Azerbaijan",+994 51 312 12 19,5,3,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deem Coffee Company,https://www.tripadvisor.com/Restaurant_Review-g293934-d27437921-Reviews-Deem_Coffee_Company-Baku_Absheron_Region.html,"Gogol Street, Baku Azerbaijan",+110 712 66 12,5,2,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee Khatai,https://www.tripadvisor.com/Restaurant_Review-g293934-d30792527-Reviews-Belgian_Chocolate_Coffee_Khatai-Baku_Absheron_Region.html,"5 Izzat Orucov, Baku Azerbaijan",+994 55 955 77 05,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blend Coffee & Wine,https://www.tripadvisor.com/Restaurant_Review-g293934-d26269789-Reviews-Blend_Coffee_Wine-Baku_Absheron_Region.html,"Mirze Ibrahimov 20, Baku AZ1001 Azerbaijan",+994 55 570 21 22,5,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee Narimanov,https://www.tripadvisor.com/Restaurant_Review-g293934-d30794152-Reviews-Belgian_Chocolate_Coffee_Narimanov-Baku_Absheron_Region.html,"Garabag Street, Baku Azerbaijan",+994 77 633 77 03,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kofetearea,https://www.tripadvisor.com/Restaurant_Review-g293934-d24179738-Reviews-Kofetearea-Baku_Absheron_Region.html,"12 Inshaatchilar Avenue, Baku 1100 Azerbaijan",+994 12 525 04 05,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamia Colazione,https://www.tripadvisor.com/Restaurant_Review-g293934-d25100616-Reviews-Lamia_Colazione-Baku_Absheron_Region.html,"Zarifa Aliyeva 6/8, Baku Azerbaijan",N/A,3,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiffany&Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d25546462-Reviews-Tiffany_Coffee-Baku_Absheron_Region.html,"Khagani, 49 / 2 Fikret Amirov, Baku 1033 Azerbaijan",+994 70 231 45 75,4.4,5,4,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Cat Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d26345226-Reviews-Black_Cat_Cafe-Baku_Absheron_Region.html,"Tabriz Khalilbeyli 21, Baku AZ 2021 Azerbaijan",+994 51 474 18 68,3,2,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breezy Coffee Shop,https://www.tripadvisor.com/Restaurant_Review-g293934-d25569107-Reviews-Breezy_Coffee_Shop-Baku_Absheron_Region.html,"Suleyman Rahimov 50B, Baku AZ1009 Azerbaijan",+994 77 312 19 95,5,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obraz Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d28105500-Reviews-Obraz_Cafe-Baku_Absheron_Region.html,"9rfv+ghq, Bulbul Ave, Baku, Azerbaijan, Baku AZ1010 Azerbaijan",N/A,3,2,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Coffee Mode,https://www.tripadvisor.com/Restaurant_Review-g293934-d25241948-Reviews-Coffee_Mode-Baku_Absheron_Region.html,"Khojali Avenue 29, Baku Azerbaijan",+994 51 337 09 04,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupcup Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d20904244-Reviews-Cupcup_Coffee-Baku_Absheron_Region.html,"37 Jafar Jabbarli street, Baku Azerbaijan",+994 51 206 02 30,3,9,3,0,2,2,2,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coffee Station,https://www.tripadvisor.com/Restaurant_Review-g293934-d11657353-Reviews-Coffee_Station-Baku_Absheron_Region.html,"Fikret Amirov St., 1, Baku Azerbaijan",+994 12 498 89 84,3.1,16,3,6,1,1,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexmeri Tea Room,https://www.tripadvisor.com/Restaurant_Review-g293934-d8041825-Reviews-Mexmeri_Tea_Room-Baku_Absheron_Region.html,"Inshaatchilar Ave, 31, Baku Azerbaijan",+994 12 539 74 05,5,4,4,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mug Tales,https://www.tripadvisor.com/Restaurant_Review-g293934-d32716721-Reviews-Mug_Tales-Baku_Absheron_Region.html,"Boyuk Qala 16 Old Town, Baku 1000 Azerbaijan",N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Waldo,https://www.tripadvisor.com/Restaurant_Review-g293934-d25168797-Reviews-Waldo-Baku_Absheron_Region.html,"Ibrahim Abilov 58, Baku AZ1065 Azerbaijan",+994 55 500 50 55,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Land,https://www.tripadvisor.com/Restaurant_Review-g293934-d23235348-Reviews-Coffee_Land-Baku_Absheron_Region.html,"Şeyx Şamil 4 Old City, Baku Azerbaijan",+994 50 877 99 90,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubbles Bubble Tea - Fountain Square,https://www.tripadvisor.com/Restaurant_Review-g293934-d26966627-Reviews-Bubbles_Bubble_Tea_Fountain_Square-Baku_Absheron_Region.html,"2 Mammadamin Rasul-Zadeh St. Fountain Square, Baku 1000 Azerbaijan",+994 55 200 26 33,3,2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puuf Baku,https://www.tripadvisor.com/Restaurant_Review-g293934-d27729150-Reviews-Puuf_Baku-Baku_Absheron_Region.html,"Bəşir Səfəroğlu 199, Baku Azerbaijan",+994 50 750 92 27,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilli Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d26101292-Reviews-Gilli_Coffee-Baku_Absheron_Region.html,"5 Azerbaijan Ave., Baku 1005 Azerbaijan",+994 51 705 65 35,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaikend Baku,https://www.tripadvisor.com/Restaurant_Review-g293934-d32784529-Reviews-Chaikend_Baku-Baku_Absheron_Region.html,"Akademik Lətif Imanov 37, Baku AZ 1147 Azerbaijan",9.94105E+11,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0
Gloria Jeans Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d12902327-Reviews-Gloria_Jeans_Coffee-Baku_Absheron_Region.html,N/A,N/A,3,11,2,4,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubbles Bubble Tea - Ganjlik Mall,https://www.tripadvisor.com/Restaurant_Review-g293934-d26997926-Reviews-Bubbles_Bubble_Tea_Ganjlik_Mall-Baku_Absheron_Region.html,"38 Fatali Khan Khoyski Ave. Ganjlik Mall, Cinema Plus, Baku 1110 Azerbaijan",+994 55 200 26 33,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkacoffeebaku,https://www.tripadvisor.com/Restaurant_Review-g293934-d28046022-Reviews-Turkacoffeebaku-Baku_Absheron_Region.html,"Ağ Şəhər Mərkəzi Bulvar Küçəsi 8 Ağ Şeher, Baku AZ1000 Azerbaijan",+994 55 214 88 89,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Traveler's Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d9974049-Reviews-Traveler_s_Coffee-Baku_Absheron_Region.html,"Nizami Kucesi, 68, Baku Azerbaijan",+994 50 413 95 95,3,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Space,https://www.tripadvisor.com/Restaurant_Review-g293934-d19091891-Reviews-W_Space-Baku_Absheron_Region.html,"Samad Vurgun 34 AF Mall, 4th floor, Baku Azerbaijan",+994 55 288 22 08,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Coffeemood,https://www.tripadvisor.com/Restaurant_Review-g293934-d25265650-Reviews-Coffeemood-Baku_Absheron_Region.html,"5 Uzeyir Hajibayov Street, Baku Azerbaijan",+994 50 494 00 13,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coffeetalk,https://www.tripadvisor.com/Restaurant_Review-g293934-d26524955-Reviews-Coffeetalk-Baku_Absheron_Region.html,"Sahil Bağı Uzeyir Hacibayov, Baku Azerbaijan",+994 55 696 13 27,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
